"appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"WeChat","Connecting over a billion people with calls, chats, and more","100,000,000+",100000000,4.2126527,5567513,1352607,true,true,"Varies with device","Varies with device","WeChat","COMMUNICATION",,"Everyone",false,"Jan 30, 2011",1549023709000,"Varies with device","What&#39;s New in v7.0:<br>- Record a &quot;Time Capsule&quot; to chronicle the world through your eyes. &quot;Blow a bubble&quot; when viewing a friend&#39;s Time Capsule to let your friend know you&#39;ve opened it.<br>- A whole new design with a clearer, more intuitive interface<br>- Configure an alert from a chat&#39;s settings screen for a special alert when receiving a message<br><br>Recent Updates:<br>- From the stickers panel, create and send a Selfie Sticker","com.tencent.mm","https://play.google.com/store/apps/details?id=com.tencent.mm&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Google Duo - High Quality Video Calls","Simple, high quality video calls for smartphones and tablets","1,000,000,000+",1000000000,4.596918,3363378,1129882,true,false,"Varies with device","4.4 and up","5700313618786177705","COMMUNICATION",,"Everyone",false,"Aug 16, 2016",1549917126000,"46.0.230154485.DR46_RC11","• Now available for Android tablets<br><br>• Bug fixes and product improvements","com.google.android.apps.tachyon","https://play.google.com/store/apps/details?id=com.google.android.apps.tachyon&hl=en&gl=us""appTitle","summary","installs","minInstalls","score","ratings","reviews","free","offersIAP","size","androidVersionText","developerId","genreId","familyGenreId","contentRating","adSupported","released","updated","version","recentChanges","appId","url"
"Snapchat","Life&#39;s more fun when you live in the moment :)","500,000,000+",500000000,4.07367,18740037,6535867,true,true,"Varies with device","Varies with device","Snap+Inc","SOCIAL",,"Teen",true,"Oct 29, 2012",1549990521000,"Varies with device","Bug fixes and improvements! 👻","com.snapchat.android","https://play.google.com/store/apps/details?id=com.snapchat.android&hl=en&gl=us"
