"title","installs","minInstalls","scoreText","ratings","reviews","price","free","currency","priceText","offersIAP","size","androidVersion","androidVersionText","developer","genreId","familyGenreId","developerId","contentRating","adSupported","released","updated","version","recentChanges","appId""Tinder","100,000,000+",100000000,"4.0",3380267,891836,0,true,"USD","Free",true,"23M","5.0","5.0 and up","Tinder","LIFESTYLE",,"8070166968320699506","Mature 17+",true,"Jul 15, 2013",1559259241000,"10.16.0","Bug fixes and improvements","com.tinder"

"Family Locator - GPS Tracker","50,000,000+",50000000,"4.5",981476,349253,0,true,"USD","Free",true,"33M","6.0","6.0 and up","Life360","LIFESTYLE",,"Life360","Everyone",false,"Apr 7, 2010",1558743559000,"Varies with device","Thanks for using Life360! We’re always making changes and improvements behind the scenes; to ensure that you do not miss anything, please keep your updates turned on.<br>- Bug fixes and performance improvements","com.life360.android.safetymapd"
"Google Home","100,000,000+",100000000,"4.1",578789,157336,0,true,"USD","Free",false,"22M","4.4","4.4 and up","Google LLC","LIFESTYLE",,"5700313618786177705","Everyone",false,"Jul 18, 2013",1557959227000,"2.11.1.8","With the Google Home app you can control and manage compatible lights, cameras, TVs, and more – all from one place.<br><br><br>New in this update:<br>Bug fixes and improvements","com.google.android.apps.chromecast.app"
"The PCH App","5,000,000+",5000000,"4.5",311467,117324,0,true,"USD","Free",false,"86M","4.4","4.4 and up","Publishers Clearing House","LIFESTYLE",,"Publishers+Clearing+House","Everyone",true,"Apr 16, 2013",1559230451000,"2.9.6.79318","- Various updates and bug fixes.","pch.apps.pchsweeps"
