"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Google Duo - High Quality Video Calls","com.google.android.apps.tachyon","https://play.google.com/store/apps/details?id=com.google.android.apps.tachyon","https://lh3.googleusercontent.com/ceYbl4U0NCqIReEvd5GEApfzHEUgs17pEnoEaLFnjMjIWFIMAfg3PV6RI2A8cxLXzn8","Google LLC","5700313618786177705","FREE",true,"Simple, high quality video calls for smartphones and tablets","4.6",4.5941577"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"ICQ: Messages, Group chats & Video Calls","com.icq.mobile.client","https://play.google.com/store/apps/details?id=com.icq.mobile.client","https://lh3.googleusercontent.com/evJrJh9qDWRbrji7pS3VqMIYWk5BLNISGffqkD2-IENesFNJ2cEzZ5SSXJ5wcnluliA","LLC Mail.Ru","LLC Mail.Ru","FREE",true,"Instant messaging app with Chat rooms. Encrypted and safe free video calling!","4.4",4.384148"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Hangouts","com.google.android.talk","https://play.google.com/store/apps/details?id=com.google.android.talk","https://lh6.ggpht.com/5puZavg4x2pThSTJgos1sARWoARea7tzr_B8AWEwn2lV05RoXo9M8BM2XwcvwG6nIGc","Google LLC","5700313618786177705","FREE",true,"Hangouts - free messaging, video, and voice","4.0",4.0426736"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"LINE: Free Calls & Messages","jp.naver.line.android","https://play.google.com/store/apps/details?id=jp.naver.line.android","https://lh3.googleusercontent.com/l-ZZOFGyeKYz3stUbxTECHYnXcRD66C9g0tjiWA_okVIxZyb0E7_esU8LRpq_0LFCu8Y","LINE Corporation","4919265583026901892","FREE",true,"Stay in touch with your friends and family using LINE!","4.2",4.1839294"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Messenger – Text and Video Chat for Free","com.facebook.orca","https://play.google.com/store/apps/details?id=com.facebook.orca","https://lh3.googleusercontent.com/I9j5jRbLkr5hxxLDN1d_2uj6iZWEtH9cKhRkORcNxPxYjrxMj9eN1Ad2ZNwMnZxFbJo","Facebook","Facebook","FREE",true,"Be together whenever with a simple way to text, video chat and rally the group.","4.1",4.0887184"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"WeChat","com.tencent.mm","https://play.google.com/store/apps/details?id=com.tencent.mm","https://lh3.googleusercontent.com/eOXYfM4C_CJc6hJ9Yxa0q0Xf-O8u03T5af6NdC5vnuYKLnrgsIjEaM4lUK3Mj7gNn7Y","WeChat","WeChat","FREE",true,"Connecting over a billion people with calls, chats, and more","4.2",4.208388"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"WhatsApp Messenger","com.whatsapp","https://play.google.com/store/apps/details?id=com.whatsapp","https://lh6.ggpht.com/mp86vbELnqLi2FzvhiKdPX31_oiTRLNyeK8x4IIrbF5eD1D5RdnVwjQP0hwMNR_JdA","WhatsApp Inc.","WhatsApp Inc.","FREE",true,"Simple. Personal. Secure.","4.4",4.416878
